name	id	parent	geo	iso23	iso3
Nuclear Pashto	nucl1276	pash1269		ps	pus
Brazil-Portugal Portuguese	braz1247	macr1272			
Portuguese	port1283	braz1247	39.91,-8.1	pt	por
Quechuan	quec1387			qu	que
Mayan	maya1287				
Core Mayan	core1254	maya1287			
Quichean-Mamean	quic1274	core1254			
Greater Quichean	grea1276	quic1274			
Core Quichean	core1251	grea1276			
Quiche-Achi	quic1275	core1251			
K'iche'	kich1262	quic1275	14.5278,-91.1696	quc	quc
Romansh	roma1326	gall1280	46.5538,9.92812	rm	roh
Northeast Savanna Bantu	nort3203	east2731			
Great Lakes Bantu	grea1289	nort3203			
Western Lakes Bantu	west2842	grea1289			
Kivu	kivu1239	west2842			
West Highlands Kivu	rwan1241	kivu1239			
Rundi	rund1242	rwan1241	-1.44174,31.3191	rn	run
Eastern Romance	east2714	roma1334			
Balkan Romance	macr1262	east2714			
Romanian	roma1327	macr1262	46.3913,24.2256	ro	ron
Russian	russ1263	east1426	59,50	ru	rus
Kinyarwanda	kiny1244	rwan1241	-1.56771,29.6441	rw	kin
Sanskrit	sans1269	indo1321	20,77	sa	san
North Siberian Turkic	nort2688	comm1245			
Yakut	yaku1245	nort2688	61.6974,133.98	sah	sah
Mundaic	mund1335	aust1305			
North Munda	nort3151	mund1335			
Kherwarian	kher1245	nort3151			
Santalic	sant1457	kher1245			
Santali	sant1410	sant1457	25.0317,87.8185	sat	sat
Cangin	cang1245	nort3148			
Saafi-Noon-Lehar	saaf1239	cang1245			
Saafi-Saafi	saaf1238	saaf1239	14.625,-17.0568	sav	sav
Sindhic	sind1279	sind1278			
Sindhi	sind1272	sind1279	26,69	sd	snd
Saami	saam1281	ural1272			
Western Saami	west2390	saam1281			
Central Western Saami	cent2240	west2390			
Northern Sami	nort2671	cent2240	68.725,22.1113	se	sme
North Volta-Congo	nort3149	volt1241			
Cameroun-Ubangian	came1255	nort3149			
Ubangi	uban1244	came1255			
Ngbandi-Mongoba-Kazibati	ngba1290	uban1244			
Ngbandic	ngba1280	ngba1290			
Nuclear Ngbandic	nucl1737	ngba1280			
Sangoic	sang1327	nucl1737			
Sango	sang1328	sang1327	6.78584,20.1702	sg	sag
Sinhalaic	sinh1247	sinh1245			
Sinhala	sinh1246	sinh1247	8,81	si	sin
Slovak	slov1269	czec1260	48.545705,18.78479	sk	slk
Slovenian	slov1268	west2804	46.2543,14.7766	sl	slv
Ellicean	elli1239	nucl1485			
Samoan-Tokelauan	samo1310	elli1239			
Samoan	samo1305	samo1310	-13.92,-171.83	sm	smo
Shona {S.10}	shon1250	east2731			
Core Shona	core1255	shon1250			
Plateau Shona	plat1259	core1255			
Central Shona	cent2310	plat1259			
Shona	shon1251	cent2310	-17.20849,29.75725	sn	sna
Noon-Lehar	noon1244	saaf1239			
Noon	noon1242	noon1244	14.792,-16.9205	snf	snf
Cushitic	cush1243	afro1255			
East Cushitic	east2699	cush1243			
Lowland East Cushitic	lowl1267	east2699			
Southern Lowland East Cushitic	sout3055	lowl1267			
Mainstream Lowland East Cushitic	main1283	sout3055			
Omo-Tana	omot1245	main1283			
Eastern Omo-Tana	east2653	omot1245			
Somali	soma1255	east2653	4.778704,45.152856	so	som
Albanian	alba1267	indo1319		sq	sqi
Serbian	serb1264	sout1528	44.3238,21.9192	sr	srp
Sereer	sere1260	peul1234	13.8941,-16.3916	srr	srr
Swati	swat1243	ngun1267	-26,31.5	ss	ssw
Sesotho-Lozi	seso1234	soth1252			
Southern Sotho	sout2807	seso1234	-30.4445,27.8951	st	sot
North Scandinavian	nort3266	nort3160			
East-Central Swedic	east2780	nort3266			
East Swedic	east2781	east2780			
